"","x"
"146","@KatrinaPierson @WhiteHouse @realDonaldTrump Hey Kat, have you received your subpoena yet?"
"147","@t0lerantparad0x @VikingBearGod @LockDemsUp @lilhobo17 @loudmouthdad @JoanneColombo @1_bammom @joshdcaplan… https://t.co/R1NGsvE3aI"
"148","You better phone you boyfriend/benefactor. It's you who invited him to come to the WhiteHouse so will you now have… https://t.co/XjryrgOdOk"
"149","#LeaveSyria @realDonaldTrump @POTUS @WhiteHouse <ed><U+00A0><U+00BD><ed><U+00B1><U+0087><ed><U+00A0><U+00BD><ed><U+00B1><U+0087><ed><U+00A0><U+00BD><ed><U+00B1><U+0087><ed><U+00A0><U+00BD><ed><U+00B1><U+0087><ed><U+00A0><U+00BD><ed><U+00B1><U+0087> https://t.co/u28UOL9zIO"
"150","@MikaSpencer @HoorayForGuns @SPACEBARS2 @liltn_Palmer @RealMattCouch @davidhogg @davidhogg111 Hey you did the same.… https://t.co/839h5uKbAe"
"151","@mysticmoonmaid @McAndrewRants @madasednam @goodbye56789 @realDonaldTrump @POTUS @WhiteHouse @PressSec @VP @thehill… https://t.co/AFCBb96XFY"
"152","@NoticiasCaracol @ABC @usarmy @usaairforce @GobiernoUSA @WhiteHouse @BBCBreaking @bbcmundo @euronewses @tve_tve… https://t.co/lYQqP7QpsA"
"153","Fresh photo gallery: A New START, a year in the making https://t.co/lFNHE12HOK"
"154","@MaFlake @FoxNews @USNationalGuard @realDonaldTrump @POTUS @WhiteHouse @SenateGOP @SenateDems @HouseGOP… https://t.co/2Ud9SuBCCV"
"155","@senrobportman Our biggest #Russia problem is in the @WhiteHouse. If you don't speak out against @realDonaldTrump, then you're #complicit."
"156","@t0lerantparad0x @VikingBearGod @MillennialStorm @lilhobo17 @loudmouthdad @JoanneColombo @1_bammom @joshdcaplan… https://t.co/SSk2BTngsw"
"157","@TheDemocrats @realDonaldTrump @WhiteHouse @POTUS @GOP Conservatives when it comes to budget.. bullshit. You twats own this .."
"158","Forces trying to DIVIDE US #Foreign and or #Domestic . . . stemming from THIS @WhiteHouse will BackFire and UNITE U… https://t.co/dA5dfi1BVv"
"159","@realDonaldTrump @POTUS @WhiteHouse @PressSec https://t.co/jTxI3Ag1Ac"
"160","@Kauffman126 @realDonaldTrump @WhiteHouse No dumbass. We should never have been in Iraq to begin with. Who got us t… https://t.co/LcGLOYKMft"
"161","@MeetThePress No, it is not a cheap shot, it is a LIE and Mr. Navarro is a liar. @WhiteHouse"
"162","@Allthatjewelry @smidge9099 @LadyChesapeake @jim_lewis1018 @WhiteHouse @BIGSEXYYT So, posting a crude and racist pi… https://t.co/kWZSBRylvs"
"163","@WSmith_1984_ @McAndrewRants @madasednam @goodbye56789 @realDonaldTrump @POTUS @WhiteHouse @PressSec @VP @thehill T… https://t.co/od1mF7lA1l"
"164","@NoticiasCaracol @ABC @usarmy @usaairforce @GobiernoUSA @WhiteHouse @BBCBreaking @bbcmundo @euronewses @tve_tve… https://t.co/k0Dyat7yir"
"165","@realDonaldTrump @KerstiKaljulaid @Grybauskaite_LT @Vejonis @WhiteHouse THEY WERE ALL VERY, VERY NICE PPL. ENJOYED WATCHING THEM SPEAK."
"166","@Aaroninthe208 @rejialex7 I'm really glad to hear you say that, something we definitely agree on. Shame that idiot… https://t.co/nke9SBABAk"
